FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
StrandingAndGrounding,20240810,브이아이피호,0,0,0,낚시어선 브이아이피호 좌초사건,35.8536,126.3297,strandingAndGroundingType,grounding,126.3297 35.8536
CollisionAndContact,20240810,광명호,0,0,0,어선 광명호 부유물감김사건,37.0214,126.2106,collisionAndContactType,floating object entanglement,126.2106 37.0214
FloodingAndSinking,20240808,동일호,0,0,0,어선 동일호 침수사건,37.3667,126.7167,floodingAndSinkingType,flooding,126.7167 37.3667
HullAndEngineAccessoryDamage,20240807,엘리스호,0,0,0,낚시어선 엘리스호 기관손상사건,35.8333,126.15,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.15 35.8333
HullAndEngineAccessoryDamage,20240807,대일호,0,0,0,기타선 대일호 기관손상사건,37.2819,126.2761,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2761 37.2819
HullAndEngineAccessoryDamage,20240807,BELL호,0,0,1,모터보트 벨호 기관손상사건,36.2958,126.5192,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5192 36.2958
HullAndEngineAccessoryDamage,20240807,동방피싱호,0,0,0,어선 동방피싱호 기관손상사건,36.1167,125.5667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.5667 36.1167
NavigationalIssues,20240807,해룡호,0,0,0,어선 해룡호 운항저해사건(연료고갈),36.4342,126.5078,navigationalIssuesType,sailing hinderance,126.5078 36.4342
CollisionAndContact,20240807,FUXING,0,0,0,어선 제100한성호·산적화물선 푸싱 충돌사건,36.1142,125.6078,collisionAndContactType,collision,125.6078 36.1142
CollisionAndContact,20240807,100한성호,0,0,0,어선 제100한성호·산적화물선 푸싱 충돌사건,36.1142,125.6078,collisionAndContactType,collision,125.6078 36.1142
CollisionAndContact,20240812,골드피싱호,0,0,0,낚시어선 골드피싱호 부유물감김사건,35.7242,126.5267,collisionAndContactType,floating object entanglement,126.5267 35.7242
NavigationalIssues,20240814,북도고속페리호,0,0,0,여객선 북도고속페리호 운항저해사건,37.5133,126.4394,navigationalIssuesType,sailing hinderance,126.4394 37.5133
NavigationalIssues,20240818,나래호,0,0,0,낚시어선 나래호 운항저해사건(연료고갈),35.7833,126.4333,navigationalIssuesType,sailing hinderance,126.4333 35.7833
HullAndEngineAccessoryDamage,20240818,은성호,0,0,0,어선 은성호 기관손상사건,37.4167,126.55,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.55 37.4167
HullAndEngineAccessoryDamage,20240817,린2호,0,0,0,모터보트 린2호 기관손상사건,36.6083,126.2319,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2319 36.6083
HullAndEngineAccessoryDamage,20240817,만성호,0,0,0,어선 만성호 기관손상사건,36.3667,126.5,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5 36.3667
